Date,Open,High,Low,Close,Volume,OpenInt
2023-02-03,4261,4261,4253.25,4261,1,2587
2023-02-06,4222.25,4239,4222,4239,3,2588
2023-02-07,4215.25,4297.25,4215.25,4294,2,2590
2023-02-08,4290,4290,4243.5,4247,3,2590
2023-02-09,4254.75,4280,4201,4207.5,58,2592
2023-02-10,4215.75,4215.75,4189.75,4215.75,0,2592
2023-02-13,4213.5,4265.75,4206.5,4265.75,4,2595
2023-02-14,4250,4280,4239,4265.25,2,2596
2023-02-15,4236,4278,4236,4278,186,2657
2023-02-16,4253.5,4280,4218.75,4218.75,3,2657
2023-02-17,4180.5,4206.25,4179,4206.25,44,2662
2023-02-21,4123.25,4123.25,4123.25,4123.25,0,2662
2023-02-22,4116.25,4116.25,4111.25,4116.25,159,2641
2023-02-23,4136,4136,4110,4136,159,2641
2023-02-24,4091.25,4095.5,4071.25,4093,10,2644
2023-02-27,4117.25,4140,4105.75,4105.75,36,2635
2023-02-28,4104,4111.5,4092.75,4092.75,98,2648
2023-03-01,4073.75,4073.75,4072,4073.75,34,2648
2023-03-02,4044,4102.25,4044,4102.25,137,2610
2023-03-03,4100,4170.5,4100,4170.5,342,2858
2023-03-06,4200,4200,4174.25,4174.25,277,2893
2023-03-07,4177,4178.5,4111,4111,127,2776
2023-03-08,4118.75,4118.75,4109,4118.75,111,2790
2023-03-09,4107,4124.5,4036.75,4038.25,46,2808
2023-03-10,4008.25,4044.25,3969.5,3969.5,48,2808
2023-03-13,3945,3973.75,3916,3942,34,2809
2023-03-14,3963.25,4030,3943.5,4012,58,2800
2023-03-15,3940,3982,3930,3982,21,2805
2023-03-16,3992.75,4057,3969,4057,7,2807
2023-03-17,4014,4058,4001.75,4007,1,2808
2023-03-20,4003.25,4042,3976,4042,4,2806
2023-03-21,4050,4102.75,4050,4100,16,2820
2023-03-22,4093,4135.75,4034.75,4034.75,31,2825
2023-03-23,4048,4100.5,4013.5,4040.75,437,2699
2023-03-24,4020,4064.25,4000.5,4062,274,2429
2023-03-27,4095,4095.25,4069.75,4073.5,8,2427
2023-03-28,4066.5,4083.25,4049,4067.5,13,2429
2023-03-29,4121,4127,4121,4125.75,1,2429
2023-03-30,4120.5,4153,4118.5,4148.5,203,2309
2023-03-31,4159,4207.5,4150,4207.5,19,2318
2023-04-03,4200,4228.5,4195.25,4224.5,11,2318
2023-04-04,4215.75,4240.75,4185,4195,1005,2991
2023-04-05,4179.5,4183,4166,4183,248,2833
2023-04-06,4164.5,4201,4164.5,4199,100,2823
2023-04-07,4212.75,4214,4193,4199,34,2827
2023-04-10,4174,4210,4171.25,4205.5,10,2825
2023-04-11,4213.5,4223,4203,4207.5,9,2827
2023-04-12,4228,4245.25,4185,4188.75,27,2835
2023-04-13,4197.5,4246.75,4184.5,4243.75,21,2835
2023-04-14,4240.25,4260.75,4213.5,4238,405,3012
2023-04-17,4244.75,4257.5,4225.5,4252.25,23,3008
2023-04-18,4250.25,4272.5,4243,4255.75,46,3009
2023-04-19,4253.75,4262.75,4228.5,4255.25,71,3050
2023-04-20,4220.5,4227.5,4214,4227.25,125,3078
2023-04-21,4235.25,4235.25,4212.25,4232,11,3077
2023-04-24,4223.75,4238,4210.25,4235,104,3138
2023-04-25,4218.5,4218.5,4164,4164,232,3230
2023-04-26,4171,4184.5,4140.25,4147.25,143,3337
2023-04-27,4166,4237.25,4163.75,4229,277,3526
2023-04-28,4225,4268,4206.5,4263.75,381,3782
2023-05-01,4260.25,4282.75,4257,4262.5,78,3791
2023-05-02,4250.75,4264.5,4180.5,4210.25,472,3828
2023-05-03,4218.25,4240,4169.5,4179,135,3860
2023-05-04,4169.5,4185.5,4131,4145.25,76,3562
2023-05-05,4161,4235.75,4158,4222.75,805,3984
2023-05-08,4220.75,4233.25,4213,4227,72,4015
2023-05-09,4212,4215.25,4206,4208.25,121,4016
2023-05-10,4210.75,4245.25,4185.75,4225.5,150,4066
2023-05-11,4226.5,4239.25,4195.75,4216.75,88,4628
2023-05-12,4219,4235.5,4186,4212.25,917,4320
2023-05-15,4204.25,4228.75,4198.25,4224.75,440,4442
2023-05-16,4218,4223.25,4195.75,4197.75,213,4437
2023-05-17,4202.5,4255,4198.5,4248,414,4667
2023-05-18,4243.25,4294.25,4240.25,4291.25,229,4729
2023-05-19,4300,4307.5,4271,4284.25,542,4878
2023-05-22,4273,4299.75,4268.5,4285.5,492,5088
2023-05-23,4296.5,4302.25,4234.25,4238.75,524,5308
2023-05-24,4245,4245,4194.75,4206.25,332,5326
2023-05-25,4225.25,4256.5,4218.75,4242.75,943,5321
2023-05-26,4232.25,4305,4227.25,4297.75,226,5695
2023-05-30,4316.5,4328,4285,4299.5,114,5855
2023-05-31,4301,4301,4259,4273.75,2805,6109
2023-06-01,4272,4323.5,4261.5,4311.5,940,6231
2023-06-02,4318,4383.5,4318,4374.75,1008,6380
2023-06-05,4376,4391.5,4361,4367.5,561,6730
2023-06-06,4362,4380.25,4355.25,4376.75,1231,5996
2023-06-07,4367.75,4390.5,4357.25,4361,1227,6080
2023-06-08,4364.5,4388.75,4352,4386,955,6504
2023-06-09,4383.5,4414,4373,4393.5,1895,7471
2023-06-12,4399,4435.25,4395.25,4433.25,910,7542
2023-06-13,4435.75,4468.5,4432,4462.5,2300,8187
2023-06-14,4464.25,4485,4431.5,4464.5,688,8511
2023-06-15,4468,4532.25,4441.25,4518.25,1560,8907
2023-06-16,4514.5,4540.5,4498.75,4500.75,2700,9529
2023-06-20,4507.75,4509.25,4456.75,4481.25,1369,9772
2023-06-21,4478,4484,4450,4455.5,1642,9769
2023-06-22,4458,4472.5,4439.75,4470.25,1410,9838
2023-06-23,4470.25,4471.75,4428,4435,1272,9940
2023-06-26,4438,4449.25,4414.5,4416.25,2025,10293
2023-06-27,4421,4471.5,4417.75,4465.75,1504,10408
2023-06-28,4460,4477.25,4446.75,4464.75,1863,10689
2023-06-29,4469.5,4485.5,4458,4483.75,2172,11637
2023-06-30,4484.5,4546.25,4481.5,4536.75,2475,11992
2023-07-03,4533,4542.25,4528,4540.75,782,11747
2023-07-05,4536.75,4542,4514.75,4532,1481,11834
2023-07-06,4530.25,4530.25,4467.75,4495,2621,11045
2023-07-07,4494,4524.25,4479,4481.75,1707,11512
2023-07-10,4485.25,4496.75,4459.25,4492,998,11588
2023-07-11,4491.25,4526.25,4487.25,4521.5,1262,11685
2023-07-12,4520,4571.5,4518.75,4555.75,2679,13026
2023-07-13,4561.25,4600.25,4560.75,4592.25,2386,15289
2023-07-14,4587.25,4609.5,4580.25,4586.25,1805,15139
2023-07-17,4582.75,4615.5,4577.5,4603.25,1213,15124
2023-07-18,4599.25,4644,4594.5,4637.75,1062,15332
2023-07-19,4635,4659.5,4633,4647.5,1379,15843
2023-07-20,4640,4644,4607.75,4615.5,1861,15922
